metabolite,sample_id,flux,description
glu_L_m,s20011_0010,1e-06,L-glutamate(1-)
val_L_m,s20011_0010,1e-06,L-valine
leu_L_m,s20011_0010,0.015,L-leucine
ile_L_m,s20011_0010,0.0038544861974587714,L-isoleucine
trp_L_m,s20011_0010,0.008182,L-tryptophan
adn_m,s20011_0010,1e-06,Adenosine
dad_2_m,s20011_0010,1e-06,2-deoxyadenosine
nmn_m,s20011_0010,1e-06,NMN
gam_m,s20011_0010,0.1,D-Glucosamine
26dap_M_m,s20011_0010,0.066665039606292,"meso-2,6-Diaminoheptanedioate"
acnam_m,s20011_0010,0.1,N-acetylneuraminate
orn_m,s20011_0010,0.1,Ornithine
amp_m,s20011_0010,0.1,AMP
cgly_m,s20011_0010,0.1,L-cysteinylglycine
acgam_m,s20011_0010,0.1,N-acetyl-D-glucosamine
acmana_m,s20011_0010,0.1,N-acetyl-D-mannosamine
dcyt_m,s20011_0010,1e-06,Deoxycytidine
metsox_S_L_m,s20011_0010,0.1,L-Methionine Sulfoxide
cytd_m,s20011_0010,0.060121132881651995,Cytidine
glyc3p_m,s20011_0010,0.1,Glycerol 3-phosphate
tyr_L_m,s20011_0010,0.03631179522644476,L-tyrosine
ser_L_m,s20011_0033,1e-06,L-serine
csn_m,s20011_0033,1e-06,cytosine
dgsn_m,s20011_0033,1e-06,Deoxyguanosine
phe_L_m,s20011_0033,1e-06,L-phenylalanine
pi_m,s20011_0033,0.004728331484692549,hydrogenphosphate
strch1_m,s20011_0033,1e-06,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0033,1e-06,Guanine
ala_L_m,s20011_0033,1e-06,L-alanine
cys_L_m,s20011_0033,1e-06,L-cysteine
no2_m,s20011_0033,1e-06,Nitrite
ade_m,s20011_0033,1e-06,Adenine
ncam_m,s20011_0033,0.002068043131485108,Nicotinamide
asn_L_m,s20011_0033,0.0225,L-asparagine
gln_L_m,s20011_0033,0.018,L-glutamine
arg_L_m,s20011_0033,0.015,L-argininium(1+)
his_L_m,s20011_0033,0.015,L-histidine
gsn_m,s20011_0033,1e-06,Guanosine
ala_D_m,s20011_0033,1e-06,D-alanine
lys_L_m,s20011_0033,1e-06,L-lysinium(1+)
asp_L_m,s20011_0033,1e-06,L-aspartate(1-)
thr_L_m,s20011_0033,1e-06,L-threonine
gly_m,s20011_0033,1e-06,Glycine
indole_m,s20011_0033,0.0014320805199733977,Indole
pydxn_m,s20011_0033,1e-06,Pyridoxine
hxan_m,s20011_0033,1e-06,Hypoxanthine
so4_m,s20011_0033,1e-06,sulfate
ocdcea_m,s20011_0033,1e-06,octadecenoate (n-C18:1)
mqn7_m,s20011_0033,1e-06,Menaquinone 7
mqn8_m,s20011_0033,1e-06,Menaquinone 8
gthox_m,s20011_0033,3.818804171373813e-05,Oxidized glutathione
12dgr180_m,s20011_0033,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0033,1e-06,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0033,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0033,1e-06,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0033,1e-06,pectins
xylan_m,s20011_0033,1e-06,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0033,1e-06,2-Demethylmenaquinone 8
arabinogal_m,s20011_0033,1e-06,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0033,1e-06,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0033,1e-06,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0033,1e-06,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0033,1.18e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0033,4.847173258907478e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0033,1.31e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0033,1e-06,4-Aminobenzoate
gthrd_m,s20011_0033,1e-06,Reduced glutathione
cellul_m,s20011_0033,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0033,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0033,1e-06,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0033,1e-06,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0033,1e-06,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0033,1e-06,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0033,1e-06,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0033,1e-06,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0033,1e-06,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0033,4.819125950916714e-05,Ubiquinone-8
pydx_m,s20011_0033,0.0002490130768606491,Pyridoxal
ptrc_m,s20011_0033,0.00024955862970903664,Putrescine
spmd_m,s20011_0033,0.00037412597265541785,Spermidine
thm_m,s20011_0033,0.0003741259726588453,Thiamin
pheme_m,s20011_0033,0.00022373086086736267,Protoheme
sheme_m,s20011_0033,0.0001755396013471966,Siroheme
fe2_m,s20011_0033,0.0017626604070065974,Fe2+
fe3_m,s20011_0033,0.0004499565032424522,Fe3+
fol_m,s20011_0033,0.000977804139393394,Folate
pnto_R_m,s20011_0033,0.0006507783206153306,(R)-Pantothenate
pydam_m,s20011_0033,0.0008091041187440913,Pyridoxamine
k_m,s20011_0033,0.0011063084551330138,potassium
cl_m,s20011_0033,0.0011063084551272565,Chloride
mn2_m,s20011_0033,0.0011063084551211776,Mn2+
ca2_m,s20011_0033,0.001106308455114413,calcium(2+)
cobalt2_m,s20011_0033,0.0011063084551214792,Co2+
zn2_m,s20011_0033,0.0011063084551210522,Zinc
cu2_m,s20011_0033,0.001106308455121399,Cu2+
mg2_m,s20011_0033,0.001106308455121399,magnesium
met_L_m,s20011_0033,1e-06,L-methionine
pro_L_m,s20011_0033,1e-06,L-proline
glu_L_m,s20011_0033,1e-06,L-glutamate(1-)
val_L_m,s20011_0033,1e-06,L-valine
leu_L_m,s20011_0033,0.015,L-leucine
ile_L_m,s20011_0033,0.015,L-isoleucine
trp_L_m,s20011_0033,0.008182,L-tryptophan
adn_m,s20011_0033,1e-06,Adenosine
dad_2_m,s20011_0033,1e-06,2-deoxyadenosine
nmn_m,s20011_0033,1e-06,NMN
gam_m,s20011_0033,0.1,D-Glucosamine
26dap_M_m,s20011_0033,0.066238859907472,"meso-2,6-Diaminoheptanedioate"
acnam_m,s20011_0033,0.1,N-acetylneuraminate
orn_m,s20011_0033,0.1,Ornithine
amp_m,s20011_0033,0.1,AMP
cgly_m,s20011_0033,0.1,L-cysteinylglycine
acgam_m,s20011_0033,0.1,N-acetyl-D-glucosamine
acmana_m,s20011_0033,0.1,N-acetyl-D-mannosamine
dcyt_m,s20011_0033,1e-06,Deoxycytidine
metsox_S_L_m,s20011_0033,0.075018653122914,L-Methionine Sulfoxide
cytd_m,s20011_0033,0.044022704225498685,Cytidine
glyc3p_m,s20011_0033,0.1,Glycerol 3-phosphate
tyr_L_m,s20011_0033,0.04025957939975713,L-tyrosine
ser_L_m,s20011_0041,1e-06,L-serine
csn_m,s20011_0041,1e-06,cytosine
dgsn_m,s20011_0041,1e-06,Deoxyguanosine
phe_L_m,s20011_0041,0.02994690814946291,L-phenylalanine
pi_m,s20011_0041,0.04958325255019247,hydrogenphosphate
strch1_m,s20011_0041,0.00728250426906385,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0041,1e-06,Guanine
ala_L_m,s20011_0041,1e-06,L-alanine
cys_L_m,s20011_0041,1e-06,L-cysteine
no2_m,s20011_0041,1e-06,Nitrite
ade_m,s20011_0041,1e-06,Adenine
ncam_m,s20011_0041,0.0017659423471057933,Nicotinamide
asn_L_m,s20011_0041,0.0225,L-asparagine
gln_L_m,s20011_0041,0.018,L-glutamine
arg_L_m,s20011_0041,0.015,L-argininium(1+)
his_L_m,s20011_0041,0.015,L-histidine
gsn_m,s20011_0041,1e-06,Guanosine
ala_D_m,s20011_0041,1e-06,D-alanine
lys_L_m,s20011_0041,1e-06,L-lysinium(1+)
asp_L_m,s20011_0041,1e-06,L-aspartate(1-)
thr_L_m,s20011_0041,1e-06,L-threonine
gly_m,s20011_0041,1e-06,Glycine
indole_m,s20011_0041,0.0009979150287649872,Indole
pydxn_m,s20011_0041,0.0002890756796940657,Pyridoxine
hxan_m,s20011_0041,1e-06,Hypoxanthine
so4_m,s20011_0041,0.0009649169098092181,sulfate
ocdcea_m,s20011_0041,1e-06,octadecenoate (n-C18:1)
mqn7_m,s20011_0041,1e-06,Menaquinone 7
mqn8_m,s20011_0041,0.0005417756104583434,Menaquinone 8
gthox_m,s20011_0041,2.7315245496706133e-05,Oxidized glutathione
12dgr180_m,s20011_0041,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0041,1e-06,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0041,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0041,1e-06,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0041,3.34e-05,pectins
xylan_m,s20011_0041,3.21e-05,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0041,5.4630490993412266e-05,2-Demethylmenaquinone 8
arabinogal_m,s20011_0041,1e-06,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0041,1e-06,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0041,1e-06,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0041,1e-06,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0041,1e-06,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0041,1e-06,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0041,1e-06,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0041,1e-06,4-Aminobenzoate
gthrd_m,s20011_0041,1e-06,Reduced glutathione
cellul_m,s20011_0041,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0041,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0041,1e-06,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0041,1e-06,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0041,1e-06,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0041,1e-06,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0041,0.000470195,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0041,1e-06,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0041,1e-06,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0041,5.463049100029593e-05,Ubiquinone-8
pydx_m,s20011_0041,0.0006212107390827218,Pyridoxal
ptrc_m,s20011_0041,1e-06,Putrescine
spmd_m,s20011_0041,0.0006733924171697936,Spermidine
thm_m,s20011_0041,0.0006733924171626882,Thiamin
pheme_m,s20011_0041,5.463049098608508e-05,Protoheme
sheme_m,s20011_0041,5.463049098608508e-05,Siroheme
fe2_m,s20011_0041,0.0013086230804475463,Fe2+
fe3_m,s20011_0041,0.0006212107390837218,Fe3+
fol_m,s20011_0041,0.002020177251542565,Folate
pnto_R_m,s20011_0041,0.0019298338196023224,(R)-Pantothenate
pydam_m,s20011_0041,1e-06,Pyridoxamine
k_m,s20011_0041,0.0009649169097896049,potassium
cl_m,s20011_0041,0.000964916909789813,Chloride
mn2_m,s20011_0041,0.0009649169097711998,Mn2+
ca2_m,s20011_0041,0.0009649169097763668,calcium(2+)
cobalt2_m,s20011_0041,0.0009649169097727395,Co2+
zn2_m,s20011_0041,0.0009649169097869503,Zinc
cu2_m,s20011_0041,0.0009649169097701997,Cu2+
mg2_m,s20011_0041,0.0009649169097701997,magnesium
met_L_m,s20011_0041,0.018,L-methionine
pro_L_m,s20011_0041,1e-06,L-proline
glu_L_m,s20011_0041,1e-06,L-glutamate(1-)
val_L_m,s20011_0041,0.018,L-valine
leu_L_m,s20011_0041,0.015,L-leucine
ile_L_m,s20011_0041,0.015,L-isoleucine
trp_L_m,s20011_0041,0.008182,L-tryptophan
adn_m,s20011_0041,1e-06,Adenosine
dad_2_m,s20011_0041,1e-06,2-deoxyadenosine
nmn_m,s20011_0041,1e-06,NMN
gam_m,s20011_0041,0.1,D-Glucosamine
26dap_M_m,s20011_0041,0.06118271555065746,"meso-2,6-Diaminoheptanedioate"
acnam_m,s20011_0041,0.1,N-acetylneuraminate
orn_m,s20011_0041,0.06273654608696198,Ornithine
amp_m,s20011_0041,0.1,AMP
cgly_m,s20011_0041,0.1,L-cysteinylglycine
acgam_m,s20011_0041,0.1,N-acetyl-D-glucosamine
acmana_m,s20011_0041,0.008947183374492408,N-acetyl-D-mannosamine
dcyt_m,s20011_0041,0.09218192457179342,Deoxycytidine
metsox_S_L_m,s20011_0041,1e-06,L-Methionine Sulfoxide
cytd_m,s20011_0041,1e-06,Cytidine
glyc3p_m,s20011_0041,0.1,Glycerol 3-phosphate
tyr_L_m,s20011_0041,0.021880602136070404,L-tyrosine
ser_L_m,s20011_0020,1e-06,L-serine
csn_m,s20011_0020,1e-06,cytosine
dgsn_m,s20011_0020,1e-06,Deoxyguanosine
phe_L_m,s20011_0020,1e-06,L-phenylalanine
pi_m,s20011_0020,1e-06,hydrogenphosphate
strch1_m,s20011_0020,1e-06,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0020,1e-06,Guanine
ala_L_m,s20011_0020,1e-06,L-alanine
cys_L_m,s20011_0020,1e-06,L-cysteine
no2_m,s20011_0020,1e-06,Nitrite
ade_m,s20011_0020,1e-06,Adenine
ncam_m,s20011_0020,0.0018415071827627507,Nicotinamide
asn_L_m,s20011_0020,0.0225,L-asparagine
gln_L_m,s20011_0020,0.018,L-glutamine
arg_L_m,s20011_0020,0.015,L-argininium(1+)
his_L_m,s20011_0020,0.015,L-histidine
gsn_m,s20011_0020,1e-06,Guanosine
ala_D_m,s20011_0020,1e-06,D-alanine
lys_L_m,s20011_0020,1e-06,L-lysinium(1+)
asp_L_m,s20011_0020,1e-06,L-aspartate(1-)
thr_L_m,s20011_0020,1e-06,L-threonine
gly_m,s20011_0020,1e-06,Glycine
indole_m,s20011_0020,1e-06,Indole
pydxn_m,s20011_0020,5.193790139661005e-05,Pyridoxine
hxan_m,s20011_0020,1e-06,Hypoxanthine
so4_m,s20011_0020,1e-06,sulfate
ocdcea_m,s20011_0020,1e-06,octadecenoate (n-C18:1)
mqn7_m,s20011_0020,1e-06,Menaquinone 7
mqn8_m,s20011_0020,1e-06,Menaquinone 8
gthox_m,s20011_0020,1e-06,Oxidized glutathione
12dgr180_m,s20011_0020,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0020,1e-06,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0020,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0020,1e-06,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0020,1e-06,pectins
xylan_m,s20011_0020,1e-06,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0020,1e-06,2-Demethylmenaquinone 8
arabinogal_m,s20011_0020,1e-06,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0020,1e-06,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0020,1e-06,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0020,1e-06,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0020,1.18e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0020,1.2006852739730546e-05,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0020,1.31e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0020,1e-06,4-Aminobenzoate
gthrd_m,s20011_0020,1e-06,Reduced glutathione
cellul_m,s20011_0020,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0020,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0020,1e-06,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0020,1e-06,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0020,1e-06,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0020,1e-06,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0020,1e-06,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0020,1e-06,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0020,1e-06,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0020,1e-06,Ubiquinone-8
pydx_m,s20011_0020,1e-06,Pyridoxal
ptrc_m,s20011_0020,0.0001489495576191524,Putrescine
spmd_m,s20011_0020,0.0001489495576123545,Spermidine
thm_m,s20011_0020,0.00014894955761915075,Thiamin
pheme_m,s20011_0020,0.0001175808978501891,Protoheme
sheme_m,s20011_0020,0.0001175808978501891,Siroheme
fe2_m,s20011_0020,5.193790139661005e-05,Fe2+
fe3_m,s20011_0020,0.001789569281854142,Fe3+
fol_m,s20011_0020,0.0004468486728098672,Folate
pnto_R_m,s20011_0020,0.00010387580279314079,(R)-Pantothenate
pydam_m,s20011_0020,0.0008688156902295785,Pyridoxamine
k_m,s20011_0020,0.0009207535916261885,potassium
cl_m,s20011_0020,0.0009207535916675948,Chloride
mn2_m,s20011_0020,0.0009207535916261489,Mn2+
ca2_m,s20011_0020,0.0009207535916182508,calcium(2+)
cobalt2_m,s20011_0020,0.0009207535916253562,Co2+
zn2_m,s20011_0020,0.0009207535916261885,Zinc
cu2_m,s20011_0020,0.0009207535916261885,Cu2+
mg2_m,s20011_0020,0.0009207535916261885,magnesium
met_L_m,s20011_0020,1e-06,L-methionine
pro_L_m,s20011_0020,1e-06,L-proline
glu_L_m,s20011_0020,1e-06,L-glutamate(1-)
val_L_m,s20011_0020,1e-06,L-valine
leu_L_m,s20011_0020,1e-06,L-leucine
ile_L_m,s20011_0020,1e-06,L-isoleucine
trp_L_m,s20011_0020,0.007458843267546353,L-tryptophan
adn_m,s20011_0020,1e-06,Adenosine
dad_2_m,s20011_0020,1e-06,2-deoxyadenosine
nmn_m,s20011_0020,1e-06,NMN
gam_m,s20011_0020,1e-06,D-Glucosamine
26dap_M_m,s20011_0020,0.05245082883226072,"meso-2,6-Diaminoheptanedioate"
acnam_m,s20011_0020,0.1,N-acetylneuraminate
orn_m,s20011_0020,0.1,Ornithine
amp_m,s20011_0020,0.1,AMP
cgly_m,s20011_0020,0.1,L-cysteinylglycine
acgam_m,s20011_0020,0.1,N-acetyl-D-glucosamine
acmana_m,s20011_0020,0.03629680568695614,N-acetyl-D-mannosamine
dcyt_m,s20011_0020,1e-06,Deoxycytidine
metsox_S_L_m,s20011_0020,1e-06,L-Methionine Sulfoxide
cytd_m,s20011_0020,0.03773599018151466,Cytidine
glyc3p_m,s20011_0020,0.05097530128702843,Glycerol 3-phosphate
tyr_L_m,s20011_0020,0.025200640311037307,L-tyrosine
ser_L_m,s20011_0038,1e-06,L-serine
csn_m,s20011_0038,1e-06,cytosine
dgsn_m,s20011_0038,1e-06,Deoxyguanosine
phe_L_m,s20011_0038,1e-06,L-phenylalanine
pi_m,s20011_0038,1e-06,hydrogenphosphate
strch1_m,s20011_0038,1e-06,"starch, structure 1 (1,6-{7[1,4-Glc], 4[1,4-Glc]})"
gua_m,s20011_0038,1e-06,Guanine
ala_L_m,s20011_0038,1e-06,L-alanine
cys_L_m,s20011_0038,1e-06,L-cysteine
no2_m,s20011_0038,1e-06,Nitrite
ade_m,s20011_0038,1e-06,Adenine
ncam_m,s20011_0038,0.001850556054315518,Nicotinamide
asn_L_m,s20011_0038,0.0225,L-asparagine
gln_L_m,s20011_0038,0.018,L-glutamine
arg_L_m,s20011_0038,0.015,L-argininium(1+)
his_L_m,s20011_0038,0.015,L-histidine
gsn_m,s20011_0038,1e-06,Guanosine
ala_D_m,s20011_0038,1e-06,D-alanine
lys_L_m,s20011_0038,1e-06,L-lysinium(1+)
asp_L_m,s20011_0038,1e-06,L-aspartate(1-)
thr_L_m,s20011_0038,1e-06,L-threonine
gly_m,s20011_0038,1e-06,Glycine
indole_m,s20011_0038,1e-06,Indole
pydxn_m,s20011_0038,1e-06,Pyridoxine
hxan_m,s20011_0038,1e-06,Hypoxanthine
so4_m,s20011_0038,1e-06,sulfate
ocdcea_m,s20011_0038,1e-06,octadecenoate (n-C18:1)
mqn7_m,s20011_0038,1e-06,Menaquinone 7
mqn8_m,s20011_0038,1e-06,Menaquinone 8
gthox_m,s20011_0038,1e-06,Oxidized glutathione
12dgr180_m,s20011_0038,1e-06,"1,2-Diacyl-sn-glycerol (dioctadecanoyl, n-C18:0)"
lichn_m,s20011_0038,1e-06,"Lichenin from Icelandic moss, 170 glucose residues. DOI: 10.1039/JR9570001951"
amylose300_m,s20011_0038,1e-06,"amylose (n=300 repeat units, alpha-1,4-glc)"
glcmannan_m,s20011_0038,1e-06,"Konjac glucomannan, MW 77,500 (PMID:17962981), Man:Glc ~ 2:1. -> 286 man, 143 glc_D"
pect_m,s20011_0038,1e-06,pectins
xylan_m,s20011_0038,1e-06,"Oat spelt xylan, MW 79200 (DOI: 10.1002/masy.200551405) = 528 xyl_D"
2dmmq8_m,s20011_0038,1e-06,2-Demethylmenaquinone 8
arabinogal_m,s20011_0038,1e-06,"Larch arabinogalactan, gal/ara 6:1, small amount of glcur, MW ~ 116000"
amylopect900_m,s20011_0038,1e-06,"Amylopectin, 900 repeat units"
levan1000_m,s20011_0038,1e-06,"Levan, 1000 fructose units"
rhamnogalurI_m,s20011_0038,1e-06,"Potato rhamnogalacturonan I, MW assumed ~200000, 62 galur, 20 rmn, 12 gal, 3 arab-L, 1 xyl-D (www.megazyme.com, PMID: 16661590)"
pullulan1200_m,s20011_0038,1.18e-05,"pullulan (n=1200 repeat units, alpha-1,4 and alph-1,6 bounds)"
galmannan_m,s20011_0038,1.1080329497856619e-05,"Carob galactomannan, Gal:Man ratio 22/78. 220 gal, 780 man assumed"
xyluglc_m,s20011_0038,1.31e-05,"Xyluglucan, PMID:16663672, Fry SC 1989. 600 glc_D, 360 xyl_D, 108 gal, 60 fuc_L, 6 arab_L"
4abz_m,s20011_0038,1e-06,4-Aminobenzoate
gthrd_m,s20011_0038,1e-06,Reduced glutathione
cellul_m,s20011_0038,1e-06,"Cellulose, chain length 500 glc_D assumed, DOI: 10.1002/anie.200460587"
starch1200_m,s20011_0038,1e-06,"starch n=1200 repeat units (300 repeat units amylose, 900 repeat units amylopectin, corresponds to potatoe starch)"
rhamnogalurII_m,s20011_0038,1e-06,"Wine rhamnogalacturonan II, MW ~ 5-10 kDa, 37% galur, 16% rmn, 3% fuc-L, 11% arab-L, 6% gal, 5% glcur, 4% 2omfuc, 3% 2omxyl, 6% ... <Preview truncated at 128 characters>"
homogal_m,s20011_0038,1e-06,"Homogalacturonan, 100 galacturonate residues. Assumed to be methylated/ acetylated in every 5th residue. Citrus HG consists of 7... <Preview truncated at 128 characters>"
arabinan101_m,s20011_0038,1e-06,"Arabinan, polymer of 1,5-a-L-linked arabinofuranose units substituted by 1,3 or 1,2 linked branches, MW ~ 15000 Da (REF: www.meg... <Preview truncated at 128 characters>"
dextran40_m,s20011_0038,1e-06,"Dextran 40, 1,6-alpha-D-Glucan"
inulin_m,s20011_0038,1e-06,"Chicory inulin, 30 monosaccharide units (29 fru, 1 glc) on average"
arabinoxyl_m,s20011_0038,1e-06,"Arabinoxylan, 30 xyl_D, 18 arab_L, 3 gal, 3 glc_D"
lmn30_m,s20011_0038,1e-06,"laminarin (n=30 repeat units, beta -1,3 glc)"
q8_m,s20011_0038,1e-06,Ubiquinone-8
pydx_m,s20011_0038,7.952798860098272e-05,Pyridoxal
ptrc_m,s20011_0038,0.00016249141403905918,Putrescine
spmd_m,s20011_0038,0.00016249141404500733,Spermidine
thm_m,s20011_0038,0.00016249141403906065,Thiamin
pheme_m,s20011_0038,0.00011445931514231233,Protoheme
sheme_m,s20011_0038,0.00011445931514231233,Siroheme
fe2_m,s20011_0038,0.0017710280656331179,Fe2+
